chord,freq,contains,,data,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,V,,,,
,,,,i,,,,
,,,,#viio7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,V,,,,
,,,,i,,,,
,,,,V,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,VI,,,,
,,,,Ger,,,,
,,,,V,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,#viio7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,vi,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,V,,,,
,,,,I,,,,
,,,,vi,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,V,,,,
,,,,I,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,#viio,,,,
,,,,i,,,,
,,,,V,,,,
,,,,i,,,,
,,,,V,,,,
,,,,i,,,,
,,,,V,,,,
,,,,i,,,,
,,,,V,,,,
,,,,i,,,,
,,,,#viio7,,,,
,,,,i,,,,
,,,,#viio,,,,
,,,,iv,,,,
,,,,#viio,,,,
,,,,iv,,,,
,,,,#viio7,,,,
,,,,iv,,,,
,,,,,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,iv,,,,
,,,,V,,,,
,,,,It,,,,
,,,,V,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,VI,,,,
,,,,V,,,,
,,,,It,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,#viio7,,,,
,,,,#viio,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,#viio7,,,,
,,,,iv,,,,
,,,,i,,,,
,,,,i,,,,
,,,,Fr,,,,
,,,,V,,,,
,,,,Fr,,,,
,,,,V,,,,
,,,,Fr,,,,
,,,,V,,,,
,,,,Fr,,,,
,,,,It,,,,
,,,,V,,,,
,,,,It,,,,
,,,,V,,,,
,,,,It,,,,
,,,,V,,,,
,,,,It,,,,
,,,,V,,,,
,,,,It,,,,
,,,,V,,,,
,,,,i,,,,
,,,,V,,,,
,,,,i,,,,
,,,,V,,,,
,,,,i,,,,
,,,,i,,,,
,,,,V,,,,
,,,,VI,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,#viio7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,bII,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,ii%7,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,VI,,,,
,,,,bII,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,III7,,,,
,,,,VI,,,,
,,,,bII,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,i,,,,
,,,,#viio,,,,
,,,,i,,,,
,,,,#viio,,,,
,,,,i,,,,
,,,,iio,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,#viio,,,,
,,,,i,,,,
,,,,#viio7,,,,
,,,,i,,,,
,,,,#viio7,,,,
,,,,i,,,,
,,,,#viio7,,,,
,,,,i,,,,
,,,,#viio7,,,,
,,,,i,,,,
,,,,#viio7,,,,
,,,,i,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,V,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,V,,,,
,,,,i,,,,
,,,,#viio,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,V,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,V,,,,
,,,,i,,,,
,,,,#viio,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V+,,,,
,,,,I,,,,
,,,,V+,,,,
,,,,I,,,,
,,,,V+,,,,
,,,,I,,,,
,,,,V+,,,,
,,,,I,,,,
,,,,V+,,,,
,,,,I,,,,
,,,,V,,,,
,,,,I,,,,
,,,,viio7,,,,
,,,,I,,,,
,,,,viio7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V,,,,
,,,,i,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,i,,,,
,,,,ii%7,,,,
,,,,V,,,,
,,,,VI,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,I,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,iv,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,iv,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,iio,,,,
,,,,iio,,,,
,,,,V,,,,
,,,,i,,,,
,,,,VI,,,,
,,,,iio,,,,
,,,,iio,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,i,,,,
,,,,#viio,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,V,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,V,,,,
,,,,III,,,,
,,,,V7,,,,
,,,,III,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,#viio7,,,,
,,,,V7,,,,
,,,,#viio,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,V,,,,
,,,,i,,,,
,,,,v,,,,
,,,,i,,,,
,,,,#viio7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,iv,,,,
,,,,V,,,,
,,,,VI,,,,
,,,,V,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,VI,,,,
,,,,Ger,,,,
,,,,V,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,#viio7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,vi,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,I,,,,
,,,,vi,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,ii,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,ii,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,III,,,,
,,,,V7,,,,
,,,,iv,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V,,,,
,,,,ii,,,,
,,,,bVII,,,,
,,,,V,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,viio,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,viio,,,,
,,,,vi,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,V,,,,
,,,,I,,,,
,,,,iio,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,V,,,,
,,,,I,,,,
,,,,iio,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,ii%7,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,i,,,,
,,,,V,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,bII,,,,
,,,,V7,,,,
,,,,bII,,,,
,,,,viio7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,iv,,,,
,,,,V,,,,
,,,,iv,,,,
,,,,bII,,,,
,,,,vii,,,,
,,,,III,,,,
,,,,bII,,,,
,,,,#viio7,,,,
,,,,V,,,,
,,,,#viio7,,,,
,,,,V,,,,
,,,,i,,,,
,,,,#viio,,,,
,,,,i,,,,
,,,,#viio,,,,
,,,,i,,,,
,,,,iv,,,,
,,,,V,,,,
,,,,iv,,,,
,,,,bII,,,,
,,,,vii,,,,
,,,,bII,,,,
,,,,iv,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,VI,,,,
,,,,Ger,,,,
,,,,V,,,,
,,,,iv,,,,
,,,,#viio7,,,,
,,,,V,,,,
,,,,#viio7,,,,
,,,,V,,,,
,,,,VI,,,,
,,,,#viio7,,,,
,,,,V,,,,
,,,,Ger,,,,
,,,,V,,,,
,,,,#viio7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,viio7,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,ii,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,viio7,,,,
,,,,V,,,,
,,,,viio7,,,,
,,,,V,,,,
,,,,viio7,,,,
,,,,V,,,,
,,,,viio7,,,,
,,,,#viio7,,,,
,,,,i,,,,
,,,,#viio7,,,,
,,,,i,,,,
,,,,#viio7,,,,
,,,,i,,,,
,,,,#viio7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,viio7,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,#viio7,,,,
,,,,V,,,,
,,,,#viio7,,,,
,,,,V7,,,,
,,,,vi,,,,
,,,,vi%7,,,,
,,,,V7,,,,
,,,,v,,,,
,,,,v%7,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,#viio7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,#viio7,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,viio7,,,,
,,,,I,,,,
,,,,v,,,,
,,,,#viio7,,,,
,,,,V,,,,
,,,,viio7,,,,
,,,,I,,,,
,,,,#viio7,,,,
,,,,ii,,,,
,,,,#viio7,,,,
,,,,I,,,,
,,,,Ger,,,,
,,,,#viio7,,,,
,,,,Ger,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,V,,,,
,,,,iii,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V,,,,
,,,,i,,,,
,,,,#viio,,,,
,,,,i,,,,
,,,,V,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,VI,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,VI,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V9,,,,
,,,,ii,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,ii,,,,
,,,,bVII,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,,,,,
,,,,I,,,,
,,,,V,,,,
,,,,I,,,,
,,,,#viio7,,,,
,,,,i,,,,
,,,,V,,,,
,,,,i,,,,
,,,,i,,,,
,,,,V,,,,
,,,,III,,,,
,,,,i,,,,
,,,,i,,,,
,,,,#viio7,,,,
,,,,i,,,,
,,,,#viio7,,,,
,,,,i,,,,
,,,,i,,,,
,,,,i,,,,
,,,,iv,,,,
,,,,vii%7,,,,
,,,,bII,,,,
,,,,#viio7,,,,
,,,,V,,,,
,,,,V,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,VI,,,,
,,,,V,,,,
,,,,iv,,,,
,,,,bII,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,ii,,,,
,,,,ii7,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,i7,,,,
,,,,VI,,,,
,,,,,,,,
,,,,ii,,,,
,,,,#viio,,,,
,,,,i,,,,
,,,,#viio,,,,
,,,,V,,,,
,,,,vi,,,,
,,,,ii,,,,
,,,,III,,,,
,,,,#viio,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,bII,,,,
,,,,V7,,,,
,,,,bII,,,,
,,,,V7,,,,
,,,,bII,,,,
,,,,#viio7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,#viio7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,#viio7,,,,
,,,,i,,,,
,,,,i,,,,
,,,,#viio7,,,,
,,,,i,,,,
,,,,iv,,,,
,,,,V,,,,
,,,,iv,,,,
,,,,,,,,
,,,,bII,,,,
,,,,V7,,,,
,,,,bII,,,,
,,,,V7,,,,
,,,,VI,,,,
,,,,#viio7,,,,
,,,,iv,,,,
,,,,V7,,,,
,,,,#viio7,,,,
,,,,V7,,,,
,,,,#viio7,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,#viio7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,V,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,#viio7,,,,
,,,,V,,,,
,,,,#viio7,,,,
,,,,V,,,,
,,,,#viio7,,,,
,,,,V,,,,
,,,,#viio7,,,,
,,,,#vio7,,,,
,,,,i,,,,
,,,,#viio7,,,,
,,,,i,,,,
,,,,#vio7,,,,
,,,,i,,,,
,,,,#viio7,,,,
,,,,#viio7,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,#viio7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,#viio7,,,,
,,,,V,,,,
,,,,#viio7,,,,
,,,,vi,,,,
,,,,vi,,,,
,,,,vio7,,,,
,,,,V7,,,,
,,,,v,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,#viio7,,,,
,,,,V,,,,
,,,,#viio7,,,,
,,,,V,,,,
,,,,#viio7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,#io7,,,,
,,,,V,,,,
,,,,#viio7,,,,
,,,,I,,,,
,,,,#io7,,,,
,,,,ii,,,,
,,,,#ivo7,,,,
,,,,i,,,,
,,,,Ger,,,,
,,,,#ivo7,,,,
,,,,Ger,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,viio7,,,,
,,,,bV7,,,,
,,,,i,,,,
,,,,V,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,VI,,,,
,,,,V7,,,,
,,,,vi,,,,
,,,,V7,,,,
,,,,vi,,,,
,,,,V7,,,,
,,,,#iii,,,,
,,,,bi,,,,
,,,,#iii,,,,
,,,,I,,,,
,,,,iv,,,,
,,,,iv,,,,
,,,,vii7,,,,
,,,,VI,,,,
,,,,#viio7,,,,
,,,,iv,,,,
,,,,i,,,,
,,,,#viio7,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,#viio,,,,
,,,,i,,,,
,,,,#viio,,,,
,,,,i,,,,
,,,,iv,,,,
,,,,VI,,,,
,,,,bII,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,bII,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,bII,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,iv,,,,
,,,,iio7,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,i,,,,
,,,,I,,,,
,,,,V,,,,
,,,,ii,,,,
,,,,vi,,,,
,,,,viio7,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,V,,,,
,,,,v,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,#viio,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,viio,,,,
,,,,vi,,,,
,,,,#viio7,,,,
,,,,#viio7,,,,
,,,,#viio7,,,,
,,,,#viio7,,,,
,,,,vi,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V,,,,
,,,,#viio,,,,
,,,,ii,,,,
,,,,ii7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,vi,,,,
,,,,vi7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,vi,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,vi,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,i,,,,
,,,,#viio7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,ii,,,,
,,,,#viio7,,,,
,,,,V,,,,
,,,,#io7,,,,
,,,,vi,,,,
,,,,viio7,,,,
,,,,I,,,,
,,,,#io7,,,,
,,,,vi,,,,
,,,,viio7,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,V,,,,
,,,,vi,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,V7,,,,
,,,,viio,,,,
,,,,ii,,,,
,,,,ii,,,,
,,,,viio,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,viio7,,,,
,,,,I,,,,
,,,,#viio7,,,,
,,,,vi,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,V,,,,
,,,,vi,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,i,,,,
,,,,i,,,,
,,,,iii,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,iii,,,,
,,,,ii,,,,
,,,,#viio7,,,,
,,,,V,,,,
,,,,#iv%7,,,,
,,,,iii,,,,
,,,,viio7,,,,
,,,,V,,,,
,,,,ii7,,,,
,,,,#viio7,,,,
,,,,V,,,,
,,,,iii,,,,
,,,,iio,,,,
,,,,V,,,,
,,,,#viio7,,,,
,,,,#viio7,,,,
,,,,ii,,,,
,,,,bIII,,,,
,,,,V7,,,,
,,,,ii,,,,
,,,,bIII,,,,
,,,,V,,,,
,,,,iio,,,,
,,,,V,,,,
,,,,V9,,,,
,,,,iv,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,iv,,,,
,,,,V,,,,
,,,,viio7,,,,
,,,,i,,,,
,,,,viio7,,,,
,,,,i,,,,
,,,,viio7,,,,
,,,,i,,,,
,,,,#viio7,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,vi,,,,
,,,,IV,,,,
,,,,ii,,,,
,,,,ii,,,,
,,,,I,,,,
,,,,vi,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,V,,,,
,,,,iiio,,,,
,,,,V7,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,vi,,,,
,,,,vi,,,,
,,,,vi,,,,
,,,,#viio,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,ii,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,V,,,,
,,,,vi,,,,
,,,,VII,,,,
,,,,VII7,,,,
,,,,VII,,,,
,,,,V,,,,
,,,,V,,,,
,,,,vi,,,,
,,,,ii,,,,
,,,,ii,,,,
,,,,viio7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V,,,,
,,,,#viio7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,V,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,ii,,,,
,,,,#viio7,,,,
,,,,V,,,,
,,,,#viio7,,,,
,,,,ii,,,,
,,,,V9,,,,
,,,,I,,,,
,,,,#viio7,,,,
,,,,V7,,,,
,,,,V9,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,vi,,,,
,,,,iii,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,V,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,iv,,,,
,,,,viio,,,,
,,,,V7,,,,
,,,,iv,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,viio7,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,#viio7,,,,
,,,,V,,,,
,,,,viio7,,,,
,,,,vi,,,,
,,,,IV,,,,
,,,,#viio7,,,,
,,,,viio,,,,
,,,,V7,,,,
,,,,#viio7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,iv,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,iv,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,i,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,i,,,,
,,,,viio,,,,
,,,,V7,,,,
,,,,VII,,,,
,,,,VII,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,VII,,,,
,,,,VII,,,,
,,,,VII,,,,
,,,,viio7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,#viio7,,,,
,,,,ii,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,V,,,,
