chord,altchord,measure,beat,totbeat,timesig,op,no,mov,length,global_key,local_key,pedal,numeral,form,figbass,changes,relativeroot,phraseend
I6,,164,-1.9375,621.063,4/4,59,9,1,1,C,bII,,I,,6,,,FALSE
V43(6),,164,-0.9375,622.063,4/4,59,9,1,1,C,bII,,V,,43,6,,FALSE
V43,,164,0.0625,623.063,4/4,59,9,1,4.9375,C,bII,,V,,43,,,FALSE
I(94),,165,1,628,4/4,59,9,1,-2.9375,C,bII,,I,,,94,,FALSE
I,,165,-1.9375,625.063,4/4,59,9,1,1,C,bII,,I,,,,,FALSE
V65(64),,165,-0.9375,626.063,4/4,59,9,1,1,C,bII,,V,,65,64,,FALSE
V65,,165,0.0625,627.063,4/4,59,9,1,4.9375,C,bII,,V,,65,,,FALSE
vio7(42),,166,1,632,4/4,59,9,1,-2.9375,C,bII,,vi,o,7,42,,FALSE
i.viio7,,166,-1.9375,629.063,4/4,59,9,1,6.9375,C,i,,vii,o,7,,,FALSE
i6(64),,167,1,636,4/4,59,9,1,-2.9375,C,i,,i,,6,64,,FALSE
i6,,167,-1.9375,633.063,4/4,59,9,1,1,C,i,,i,,6,,,FALSE
ii(94),,167,-0.9375,634.063,4/4,59,9,1,1,C,i,,ii,,,94,,FALSE
ii,,167,0.0625,635.063,4/4,59,9,1,4.9375,C,i,,ii,,,,,FALSE
i(94),,168,1,640,4/4,59,9,1,-2.9375,C,i,,i,,,94,,FALSE
i,,168,-1.9375,637.063,4/4,59,9,1,6.9375,C,i,,i,,,,,FALSE
#viio43/V,,169,1,644,4/4,59,9,1,-2.9375,C,i,,#vii,o,43,,V,FALSE
.Ger6,,169,-1.9375,641.063,4/4,59,9,1,2,C,i,,Ger,,6,,,FALSE
.Fr6,,169,0.0625,643.063,4/4,59,9,1,4.9375,C,i,,Fr,,6,,,FALSE
V(4b2),,170,1,648,4/4,59,9,1,-2.9375,C,i,,V,,,4b2,,FALSE
V,,170,-1.9375,645.063,4/4,59,9,1,6.9375,C,i,,V,,,,,FALSE
.Fr6,,171,1,652,4/4,59,9,1,4,C,i,,Fr,,6,,,FALSE
V,,172,1,656,4/4,59,9,1,2,C,i,,V,,,,,FALSE
.Fr6,,172,3,658,4/4,59,9,1,2,C,i,,Fr,,6,,,FALSE
V,,173,1,660,4/4,59,9,1,6,C,i,,V,,,,,FALSE
V6,,174,3,666,4/4,59,9,1,2,C,i,,V,,6,,,FALSE
i,,175,1,668,4/4,59,9,1,4,C,i,,i,,,,,FALSE
V43,,176,1,672,4/4,59,9,1,16,C,i,,V,,43,,,FALSE
V65,,180,1,688,4/4,59,9,1,3.125,C,i,,V,,65,,,FALSE
I6,,181,0.125,691.125,4/4,59,9,1,4.875,C,i,,I,,6,,,FALSE
V2,,182,1,696,4/4,59,9,1,-1.875,C,i,,V,,2,,,FALSE
V43,,182,-0.875,694.125,4/4,59,9,1,5.875,C,i,,V,,43,,,FALSE
V65,,183,1,700,4/4,59,9,1,8,C,i,,V,,65,,,FALSE
V2,,185,1,708,4/4,59,9,1,4,C,i,,V,,2,,,FALSE
V7,,186,1,712,4/4,59,9,1,6,C,i,,V,,7,,,FALSE
I,,187,3,718,4/4,59,9,1,2,C,i,,I,,,,,FALSE
V65/ii,,188,1,720,4/4,59,9,1,20,C,i,,V,,65,,ii,FALSE
V7/ii,,193,1,740,4/4,59,9,1,2,C,i,,V,,7,,ii,FALSE
ii,,193,3,742,4/4,59,9,1,2,C,i,,ii,,,,,FALSE
iiio2,,194,1,744,4/4,59,9,1,4,C,i,,iii,o,2,,,FALSE
viio6,,195,1,748,4/4,59,9,1,-2.875,C,i,,vii,o,6,,,FALSE
viio2,,195,-1.875,745.125,4/4,59,9,1,1,C,i,,vii,o,2,,,FALSE
V7,,195,-0.875,746.125,4/4,59,9,1,5.875,C,i,,V,,7,,,FALSE
I[I,,196,1,752,4/4,59,9,1,4,C,i,I,I,,,,,FALSE
IV,,197,1,756,4/4,59,9,1,2,C,i,I,IV,,,,,FALSE
viio,,197,3,758,4/4,59,9,1,2,C,i,I,vii,o,,,,FALSE
I,,198,1,760,4/4,59,9,1,4,C,i,I,I,,,,,FALSE
IV,,199,1,764,4/4,59,9,1,2,C,i,I,IV,,,,,FALSE
viio,,199,3,766,4/4,59,9,1,2,C,i,I,vii,o,,,,FALSE
I,,200,1,768,4/4,59,9,1,1,C,i,I,I,,,,,FALSE
I],,200,2,769,4/4,59,9,1,1,C,i,I,I,,,,,FALSE
V7/ii,,200,3,770,4/4,59,9,1,2,C,i,,V,,7,,ii,FALSE
ii,,201,1,772,4/4,59,9,1,2,C,i,,ii,,,,,FALSE
V7/ii,,201,3,774,4/4,59,9,1,2,C,i,,V,,7,,ii,FALSE
ii,,202,1,776,4/4,59,9,1,2,C,i,,ii,,,,,FALSE
viio,,202,3,778,4/4,59,9,1,1,C,i,,vii,o,,,,FALSE
V7,,202,4,779,4/4,59,9,1,1,C,i,,V,,7,,,FALSE
I,,203,1,780,4/4,59,9,1,1,C,i,,I,,,,,FALSE
I6,,203,2,781,4/4,59,9,1,0.5,C,i,,I,,6,,,FALSE
I,,203,2.5,781.5,4/4,59,9,1,0.5,C,i,,I,,,,,FALSE
IV,,203,3,782,4/4,59,9,1,1,C,i,,IV,,,,,FALSE
IV6,,203,4,783,4/4,59,9,1,0.5,C,i,,IV,,6,,,FALSE
IV,,203,4.5,783.5,4/4,59,9,1,0.5,C,i,,IV,,,,,FALSE
V(64),,204,1,784,4/4,59,9,1,2,C,i,,V,,,64,,FALSE
V7,,204,3,786,4/4,59,9,1,2,C,i,,V,,7,,,FALSE
V(64),,205,1,788,4/4,59,9,1,3,C,i,,V,,,64,,FALSE
V7,,205,4,791,4/4,59,9,1,1,C,i,,V,,7,,,FALSE
I\\\\,,206,1,792,4/4,59,9,1,1,C,i,,I,,,,,TRUE
I6,,206,2,793,4/4,59,9,1,1,C,i,,I,,6,,,FALSE
I64,,206,3,794,4/4,59,9,1,1,C,i,,I,,64,,,FALSE
I,,206,4,795,4/4,59,9,1,1,C,i,,I,,,,,FALSE
IV,,207,1,796,4/4,59,9,1,1,C,i,,IV,,,,,FALSE
IV6,,207,2,797,4/4,59,9,1,1,C,i,,IV,,6,,,FALSE
IV64,,207,3,798,4/4,59,9,1,1,C,i,,IV,,64,,,FALSE
IV,,207,4,799,4/4,59,9,1,1,C,i,,IV,,,,,FALSE
I64,,208,1,800,4/4,59,9,1,4,C,i,,I,,64,,,FALSE
I6,,209,1,804,4/4,59,9,1,4,C,i,,I,,6,,,FALSE
I64,,210,1,808,4/4,59,9,1,2,C,i,,I,,64,,,FALSE
I64,,210,3,810,4/4,59,9,1,-2.875,C,i,,I,,64,,,FALSE
#io7,,210,0.125,807.125,4/4,59,9,1,4.875,C,i,,#i,o,7,,,FALSE
ii(+42),,211,1,812,4/4,59,9,1,2,C,i,,ii,,,42,,FALSE
V7,,211,3,814,4/4,59,9,1,2,C,i,,V,,7,,,FALSE
I\\\\,,212,1,816,4/4,59,9,1,-0.875,C,i,,I,,,,,TRUE
#io7,,212,0.125,815.125,4/4,59,9,1,4.875,C,i,,#i,o,7,,,FALSE
ii(+42),,213,1,820,4/4,59,9,1,2,C,i,,ii,,,42,,FALSE
V7,,213,3,822,4/4,59,9,1,2,C,i,,V,,7,,,FALSE
I\\\\,,214,1,824,4/4,59,9,1,4,C,i,,I,,,,,TRUE
V6,,215,1,828,4/4,59,9,1,2,C,i,,V,,6,,,FALSE
IV6,,215,3,830,4/4,59,9,1,2,C,i,,IV,,6,,,FALSE
iii6,,216,1,832,4/4,59,9,1,2,C,i,,iii,,6,,,FALSE
ii6,,216,3,834,4/4,59,9,1,2,C,i,,ii,,6,,,FALSE
#viio43/ii,,217,1,836,4/4,59,9,1,2,C,i,,#vii,o,43,,ii,FALSE
ii6,,217,3,838,4/4,59,9,1,2,C,i,,ii,,6,,,FALSE
viio65,,218,1,840,4/4,59,9,1,2,C,i,,vii,o,65,,,FALSE
I6,,218,3,842,4/4,59,9,1,2,C,i,,I,,6,,,FALSE
#viio65/ii,,219,1,844,4/4,59,9,1,2,C,i,,#vii,o,65,,ii,FALSE
ii6,,219,3,846,4/4,59,9,1,2,C,i,,ii,,6,,,FALSE
viio65,,220,1,848,4/4,59,9,1,2,C,i,,vii,o,65,,,FALSE
I6,,220,3,850,4/4,59,9,1,2,C,i,,I,,6,,,FALSE
V7,,221,1,852,4/4,59,9,1,1,C,i,,V,,7,,,FALSE
V7(6#4),,221,2,853,4/4,59,9,1,1,C,i,,V,,7,6#4,,FALSE
V7,,221,3,854,4/4,59,9,1,-2.875,C,i,,V,,7,,,FALSE
viio2,,221,0.125,851.125,4/4,59,9,1,4.875,C,i,,vii,o,2,,,FALSE
V65,,222,1,856,4/4,59,9,1,17,C,i,,V,,65,,,FALSE
V7(+9),,226,2,873,4/4,59,9,1,1,C,i,,V,,7,9,,FALSE
V7,,226,3,874,4/4,59,9,1,1,C,i,,V,,7,,,FALSE
V7(+9),,226,4,875,4/4,59,9,1,1,C,i,,V,,7,9,,FALSE
V7,,227,1,876,4/4,59,9,1,4,C,i,,V,,7,,,FALSE
I\\\\,,228,1,880,4/4,59,9,1,1,C,i,,I,,,,,TRUE
V,,228,2,881,4/4,59,9,1,1,C,i,,V,,,,,FALSE
I,,228,3,882,4/4,59,9,1,2,C,i,,I,,,,,FALSE
ii6(2),,229,1,884,4/4,59,9,1,1,C,i,,ii,,6,2,,FALSE
ii6,,229,2,885,4/4,59,9,1,3,C,i,,ii,,6,,,FALSE
V7(9),,230,1,888,4/4,59,9,1,-2.875,C,i,,V,,7,9,,FALSE
V7,,230,-1.875,885.125,4/4,59,9,1,1,C,i,,V,,7,,,FALSE
V65,,230,-0.875,886.125,4/4,59,9,1,1,C,i,,V,,65,,,FALSE
V7,,230,0.125,887.125,4/4,59,9,1,4.875,C,i,,V,,7,,,FALSE
I6,,231,1,892,4/4,59,9,1,1,C,i,,I,,6,,,FALSE
IV,,231,2,893,4/4,59,9,1,1,C,i,,IV,,,,,FALSE
V(64),,231,3,894,4/4,59,9,1,1,C,i,,V,,,64,,FALSE
V7,,231,4,895,4/4,59,9,1,1,C,i,,V,,7,,,FALSE
I\\\\,,232,1,896,4/4,59,9,1,1,C,i,,I,,,,,TRUE
V,,232,2,897,4/4,59,9,1,1,C,i,,V,,,,,FALSE
I,,232,3,898,4/4,59,9,1,2,C,i,,I,,,,,FALSE
ii6(2),,233,1,900,4/4,59,9,1,1,C,i,,ii,,6,2,,FALSE
ii6,,233,2,901,4/4,59,9,1,3,C,i,,ii,,6,,,FALSE
V2(2),,234,1,904,4/4,59,9,1,1,C,i,,V,,2,2,,FALSE
V2,,234,2,905,4/4,59,9,1,-2.875,C,i,,V,,2,,,FALSE
V43/ii,,234,-0.875,902.125,4/4,59,9,1,6.875,C,i,,V,,43,,ii,FALSE
ii,,235,2,909,4/4,59,9,1,-2.875,C,i,,ii,,,,,FALSE
ii64,,235,-0.875,906.125,4/4,59,9,1,1,C,i,,ii,,64,,,FALSE
ii,,235,0.125,907.125,4/4,59,9,1,4.875,C,i,,ii,,,,,FALSE
V(2)/vi,,236,1,912,4/4,59,9,1,1,C,i,,V,,,2,vi,FALSE
V/vi,,236,2,913,4/4,59,9,1,1,C,i,,V,,,,vi,FALSE
vi64,,236,3,914,4/4,59,9,1,2,C,i,,vi,,64,,,FALSE
V/vi,,237,1,916,4/4,59,9,1,1,C,i,,V,,,,vi,FALSE
V6/vi,,237,2,917,4/4,59,9,1,1,C,i,,V,,6,,vi,FALSE
vi,,237,3,918,4/4,59,9,1,1,C,i,,vi,,,,,FALSE
vi6,,237,4,919,4/4,59,9,1,1,C,i,,vi,,6,,,FALSE
V7/IV,,238,1,920,4/4,59,9,1,8,C,i,,V,,7,,IV,FALSE
IV,,240,1,928,4/4,59,9,1,2,C,i,,IV,,,,,FALSE
ii,,240,3,930,4/4,59,9,1,2,C,i,,ii,,,,,FALSE
V(64),,241,1,932,4/4,59,9,1,2,C,i,,V,,,64,,FALSE
V7,,241,3,934,4/4,59,9,1,2,C,i,,V,,7,,,FALSE
I\\\\,,242,1,936,4/4,59,9,1,2,C,i,,I,,,,,TRUE
I6,,242,3,938,4/4,59,9,1,-2.875,C,i,,I,,6,,,FALSE
III65,,242,0.125,935.125,4/4,59,9,1,4.875,C,i,,III,,65,,,FALSE
vi,,243,1,940,4/4,59,9,1,1,C,i,,vi,,,,,FALSE
#vii43,,243,2,941,4/4,59,9,1,1,C,i,,#vii,,43,,,FALSE
ii6,,243,3,942,4/4,59,9,1,1,C,i,,ii,,6,,,FALSE
#viio6/ii,,243,4,943,4/4,59,9,1,0.5,C,i,,#vii,o,6,,ii,FALSE
ii,,243,4.5,943.5,4/4,59,9,1,0.5,C,i,,ii,,,,,FALSE
V(64),,244,1,944,4/4,59,9,1,4,C,i,,V,,,64,,FALSE
V7,,245,1,948,4/4,59,9,1,4,C,i,,V,,7,,,FALSE
V(64),,246,1,952,4/4,59,9,1,4,C,i,,V,,,64,,FALSE
V7,,247,1,956,4/4,59,9,1,4,C,i,,V,,7,,,FALSE
V(64),,248,1,960,4/4,59,9,1,4,C,i,,V,,,64,,FALSE
V65,,249,1,964,4/4,59,9,1,4,C,i,,V,,65,,,FALSE
I\\\\,,250,1,968,4/4,59,9,1,4,C,i,,I,,,,,TRUE
I,,251,1,972,4/4,59,9,1,-1.8125,C,i,,I,,,,,FALSE
V43,,251,-0.8125,970.188,4/4,59,9,1,5.8125,C,i,,V,,43,,,FALSE
I6,,252,1,976,4/4,59,9,1,2,C,i,,I,,6,,,FALSE
viio6,,252,3,978,4/4,59,9,1,0.5,C,i,,vii,o,6,,,FALSE
I6,,252,3.5,978.5,4/4,59,9,1,0.5,C,i,,I,,6,,,FALSE
V65,,252,4,979,4/4,59,9,1,0.5,C,i,,V,,65,,,FALSE
I,,252,4.5,979.5,4/4,59,9,1,0.5,C,i,,I,,,,,FALSE
V2/ii,,253,1,980,4/4,59,9,1,0.5,C,i,,V,,2,,ii,FALSE
ii6,,253,1.5,980.5,4/4,59,9,1,0.5,C,i,,ii,,6,,,FALSE
V65/ii,,253,2,981,4/4,59,9,1,0.5,C,i,,V,,65,,ii,FALSE
ii,,253,2.5,981.5,4/4,59,9,1,0.5,C,i,,ii,,,,,FALSE
I6,,253,3,982,4/4,59,9,1,0.5,C,i,,I,,6,,,FALSE
IV,,253,3.5,982.5,4/4,59,9,1,0.5,C,i,,IV,,,,,FALSE
V43,,253,4,983,4/4,59,9,1,0.5,C,i,,V,,43,,,FALSE
#viio6/ii,,253,4.5,983.5,4/4,59,9,1,0.5,C,i,,#vii,o,6,,ii,FALSE
V65,,254,1,984,4/4,59,9,1,0.5,C,i,,V,,65,,,FALSE
I,,254,1.5,984.5,4/4,59,9,1,0.5,C,i,,I,,,,,FALSE
IV6,,254,2,985,4/4,59,9,1,0.5,C,i,,IV,,6,,,FALSE
I64,,254,2.5,985.5,4/4,59,9,1,0.5,C,i,,I,,64,,,FALSE
IV,,254,3,986,4/4,59,9,1,1,C,i,,IV,,,,,FALSE
V7,,254,4,987,4/4,59,9,1,1,C,i,,V,,7,,,FALSE
I[I,,255,1,988,4/4,59,9,1,1.5,C,i,I,I,,,,,FALSE
V7,,255,2.5,989.5,4/4,59,9,1,0.5,C,i,I,V,,7,,,FALSE
I64,,255,3,990,4/4,59,9,1,1.5,C,i,I,I,,64,,,FALSE
IV64,,255,4.5,991.5,4/4,59,9,1,0.5,C,i,I,IV,,64,,,FALSE
I,,256,1,992,4/4,59,9,1,1.5,C,i,I,I,,,,,FALSE
V65,,256,2.5,993.5,4/4,59,9,1,0.5,C,i,I,V,,65,,,FALSE
I,,256,3,994,4/4,59,9,1,1.5,C,i,I,I,,,,,FALSE
IV,,256,4.5,995.5,4/4,59,9,1,0.5,C,i,I,IV,,,,,FALSE
I6],,257,1,996,4/4,59,9,1,4,C,i,I,I,,6,,,FALSE
I,,258,1,1000,4/4,59,9,1,-1.8125,C,i,,I,,,,,FALSE
V(64),,258,-0.8125,998.188,4/4,59,9,1,1,C,i,,V,,,64,,FALSE
V7,,258,0.1875,999.188,4/4,59,9,1,4.8125,C,i,,V,,7,,,FALSE
I,,259,1,1004,4/4,59,9,1,2.1875,C,i,,I,,,,,FALSE
V(64),,260,-0.8125,1006.19,4/4,59,9,1,1,C,i,,V,,,64,,FALSE
V7,,260,0.1875,1007.19,4/4,59,9,1,4.8125,C,i,,V,,7,,,FALSE
I,,261,1,1012,4/4,59,9,1,3,C,i,,I,,,,,FALSE
V7,,261,4,1015,4/4,59,9,1,1,C,i,,V,,7,,,FALSE
I,,262,1,1016,4/4,59,9,1,3,C,i,,I,,,,,FALSE
V[V7,,262,4,1019,4/4,59,9,1,4,C,i,V,V,,7,,,FALSE
I64,,263,4,1023,4/4,59,9,1,4,C,i,V,I,,64,,,FALSE
V7(+9),,264,4,1027,4/4,59,9,1,2,C,i,V,V,,7,9,,FALSE
.bVII6,,265,2,1029,4/4,59,9,1,1,C,i,V,bVII,,6,,,FALSE
viio6,,265,3,1030,4/4,59,9,1,1,C,i,V,vii,o,6,,,FALSE
I6,,265,4,1031,4/4,59,9,1,1,C,i,V,I,,6,,,FALSE
#io6,,266,1,1032,4/4,59,9,1,1,C,i,V,#i,o,6,,,FALSE
ii6,,266,2,1033,4/4,59,9,1,1,C,i,V,ii,,6,,,FALSE
#iio6,,266,3,1034,4/4,59,9,1,1,C,i,V,#ii,o,6,,,FALSE
iii6,,266,4,1035,4/4,59,9,1,1,C,i,V,iii,,6,,,FALSE
IV6,,267,1,1036,4/4,59,9,1,1,C,i,V,IV,,6,,,FALSE
#viio6/V,,267,2,1037,4/4,59,9,1,1,C,i,V,#vii,o,6,,V,FALSE
V6,,267,3,1038,4/4,59,9,1,1,C,i,V,V,,6,,,FALSE
#viio6/vi,,267,4,1039,4/4,59,9,1,1,C,i,V,#vii,o,6,,vi,FALSE
vi6,,268,1,1040,4/4,59,9,1,2,C,i,V,vi,,6,,,FALSE
V7],,268,3,1042,4/4,59,9,1,2,C,i,V,V,,7,,,FALSE
I,,269,1,1044,4/4,59,9,1,2,C,i,,I,,,,,FALSE
V7,,269,3,1046,4/4,59,9,1,2,C,i,,V,,7,,,FALSE
I\\\\,,270,1,1048,4/4,59,9,1,4,C,i,,I,,,,,TRUE
.a.i64,,1,1,1,6/8,59,9,2,3,a,I,,i,,64,,,FALSE
V,,2,1,4,6/8,59,9,2,1.5,a,I,,V,,,,,FALSE
V7,,2,2.5,5.5,6/8,59,9,2,1.5,a,I,,V,,7,,,FALSE
i64,,3,1,7,6/8,59,9,2,1.5,a,I,,i,,64,,,FALSE
V7,,3,2.5,8.5,6/8,59,9,2,1.5,a,I,,V,,7,,,FALSE
i64,,4,1,10,6/8,59,9,2,1.5,a,I,,i,,64,,,FALSE
V7,,4,2.5,11.5,6/8,59,9,2,1.5,a,I,,V,,7,,,FALSE
i\\\\,,5,1,13,6/8,59,9,2,6,a,I,,i,,,,,TRUE
i\\\\,,7,1,19,6/8,59,9,2,6,a,I,,i,,,,,TRUE
III,,9,1,25,6/8,59,9,2,1.5,a,I,,III,,,,,FALSE
V7/VI,,9,2.5,26.5,6/8,59,9,2,1.5,a,I,,V,,7,,VI,FALSE
VI(94),,10,1,28,6/8,59,9,2,0.5,a,I,,VI,,,94,,FALSE
VI,,10,1.5,28.5,6/8,59,9,2,1,a,I,,VI,,,,,FALSE
V7/iv,,10,2.5,29.5,6/8,59,9,2,1.5,a,I,,V,,7,,iv,FALSE
iv(974),,11,1,31,6/8,59,9,2,0.5,a,I,,iv,,,974,,FALSE
iv,,11,1.5,31.5,6/8,59,9,2,1,a,I,,iv,,,,,FALSE
iv,,11,2.5,32.5,6/8,59,9,2,1.5,a,I,,iv,,,,,FALSE
V/iv,,12,1,34,6/8,59,9,2,1.5,a,I,,V,,,,iv,FALSE
V7/iv,,12,2.5,35.5,6/8,59,9,2,1.5,a,I,,V,,7,,iv,FALSE
iv,,13,1,37,6/8,59,9,2,1.5,a,I,,iv,,,,,FALSE
V7,,13,2.5,38.5,6/8,59,9,2,1.5,a,I,,V,,7,,,FALSE
i\\\\,,14,1,40,6/8,59,9,2,1.5,a,I,,i,,,,,TRUE
#viio2/V,,14,2.5,41.5,6/8,59,9,2,1,a,I,,#vii,o,2,,V,FALSE
#viio43/V,,14,3.5,42.5,6/8,59,9,2,0.5,a,I,,#vii,o,43,,V,FALSE
V,,15,1,43,6/8,59,9,2,1.5,a,I,,V,,,,,FALSE
V7(+9),,15,2.5,44.5,6/8,59,9,2,1.5,a,I,,V,,7,9,,FALSE
i\\\\,,16,1,46,6/8,59,9,2,1.5,a,I,,i,,,,,TRUE
#viio2/V,,16,2.5,47.5,6/8,59,9,2,1,a,I,,#vii,o,2,,V,FALSE
#viio43/V,,16,3.5,48.5,6/8,59,9,2,0.5,a,I,,#vii,o,43,,V,FALSE
V,,17,1,49,6/8,59,9,2,1.5,a,I,,V,,,,,FALSE
#viio2/V,,17,2.5,50.5,6/8,59,9,2,1,a,I,,#vii,o,2,,V,FALSE
#viio/V,,17,3.5,51.5,6/8,59,9,2,0.5,a,I,,#vii,o,,,V,FALSE
V,,18,1,52,6/8,59,9,2,1.5,a,I,,V,,,,,FALSE
#viio2,,18,2.5,53.5,6/8,59,9,2,1,a,I,,#vii,o,2,,,FALSE
#viio43,,18,3.5,54.5,6/8,59,9,2,0.5,a,I,,#vii,o,43,,,FALSE
i6,,19,1,55,6/8,59,9,2,1,a,I,,i,,6,,,FALSE
VI,,19,2,56,6/8,59,9,2,0.5,a,I,,VI,,,,,FALSE
iv7,,19,2.5,56.5,6/8,59,9,2,1,a,I,,iv,,7,,,FALSE
V,,19,3.5,57.5,6/8,59,9,2,0.5,a,I,,V,,,,,FALSE
#viio2,,20,1,58,6/8,59,9,2,2.5,a,I,,#vii,o,2,,,FALSE
#viio7,,20,3.5,60.5,6/8,59,9,2,0.5,a,I,,#vii,o,7,,,FALSE
i,,21,1,61,6/8,59,9,2,1,a,I,,i,,,,,FALSE
iv6,,21,2,62,6/8,59,9,2,0.5,a,I,,iv,,6,,,FALSE
iv7,,21,2.5,62.5,6/8,59,9,2,1,a,I,,iv,,7,,,FALSE
V,,21,3.5,63.5,6/8,59,9,2,0.5,a,I,,V,,,,,FALSE
i\\\\,,22,1,64,6/8,59,9,2,3,a,I,,i,,,,,TRUE
i[i64,,23,1,67,6/8,59,9,2,1,a,I,i,i,,64,,,FALSE
i,,23,2,68,6/8,59,9,2,0.5,a,I,i,i,,,,,FALSE
#viio,,23,2.5,68.5,6/8,59,9,2,0.5,a,I,i,#vii,o,,,,FALSE
i,,23,3,69,6/8,59,9,2,0.5,a,I,i,i,,,,,FALSE
i64,,23,3.5,69.5,6/8,59,9,2,1.5,a,I,i,i,,64,,,FALSE
i,,24,2,71,6/8,59,9,2,0.5,a,I,i,i,,,,,FALSE
#viio,,24,2.5,71.5,6/8,59,9,2,1.5,a,I,i,#vii,o,,,,FALSE
i64,,25,1,73,6/8,59,9,2,1,a,I,i,i,,64,,,FALSE
i,,25,2,74,6/8,59,9,2,0.5,a,I,i,i,,,,,FALSE
#viio,,25,2.5,74.5,6/8,59,9,2,1,a,I,i,#vii,o,,,,FALSE
i64,,25,3.5,75.5,6/8,59,9,2,1.5,a,I,i,i,,64,,,FALSE
i,,26,2,77,6/8,59,9,2,0.5,a,I,i,i,,,,,FALSE
#viio,,26,2.5,77.5,6/8,59,9,2,1.5,a,I,i,#vii,o,,,,FALSE
i,,27,1,79,6/8,59,9,2,3,a,I,i,i,,,,,FALSE
i]\\\\,,28,1,82,6/8,59,9,2,1.5,a,I,i,i,,,,,TRUE
vi.V9,,28,2.5,83.5,6/8,59,9,2,1.5,a,vi,,V,,9,,,FALSE
V7,,29,1,85,6/8,59,9,2,1.5,a,vi,,V,,7,,,FALSE
V,,29,2.5,86.5,6/8,59,9,2,1.5,a,vi,,V,,,,,FALSE
V9,,30,1,88,6/8,59,9,2,2.5,a,vi,,V,,9,,,FALSE
V9(4),,30,3.5,90.5,6/8,59,9,2,0.5,a,vi,,V,,9,4,,FALSE
V9,,31,1,91,6/8,59,9,2,1,a,vi,,V,,9,,,FALSE
V7,,31,2,92,6/8,59,9,2,1.5,a,vi,,V,,7,,,FALSE
V9(4),,31,3.5,93.5,6/8,59,9,2,0.5,a,vi,,V,,9,4,,FALSE
V9,,32,1,94,6/8,59,9,2,2.5,a,vi,,V,,9,,,FALSE
V9(4),,32,3.5,96.5,6/8,59,9,2,1,a,vi,,V,,9,4,,FALSE
V,,33,1.5,97.5,6/8,59,9,2,1,a,vi,,V,,,,,FALSE
V7,,33,2.5,98.5,6/8,59,9,2,1.5,a,vi,,V,,7,,,FALSE
i,,34,1,100,6/8,59,9,2,1.5,a,vi,,i,,,,,FALSE
VI,,34,2.5,101.5,6/8,59,9,2,1,a,vi,,VI,,,,,FALSE
i64,,34,3.5,102.5,6/8,59,9,2,0.5,a,vi,,i,,64,,,FALSE
#viio7/V,,35,1,103,6/8,59,9,2,1.5,a,vi,,#vii,o,7,,V,FALSE
VI,,35,2.5,104.5,6/8,59,9,2,1,a,vi,,VI,,,,,FALSE
i64,,35,3.5,105.5,6/8,59,9,2,0.5,a,vi,,i,,64,,,FALSE
#viio7/V,,36,1,106,6/8,59,9,2,1.5,a,vi,,#vii,o,7,,V,FALSE
VI,,36,2.5,107.5,6/8,59,9,2,1,a,vi,,VI,,,,,FALSE
i64,,36,3.5,108.5,6/8,59,9,2,0.5,a,vi,,i,,64,,,FALSE
iii.#viio7,,37,1,109,6/8,59,9,2,0.5,a,iii,,#vii,o,7,,,FALSE
V43,,37,1.5,109.5,6/8,59,9,2,0.5,a,iii,,V,,43,,,FALSE
#viio2,,37,2,110,6/8,59,9,2,0.5,a,iii,,#vii,o,2,,,FALSE
V7,,37,2.5,110.5,6/8,59,9,2,1.5,a,iii,,V,,7,,,FALSE
ivo64,,38,1,112,6/8,59,9,2,0.5,a,iii,,iv,o,64,,,FALSE
VI6,,38,1.5,112.5,6/8,59,9,2,0.5,a,iii,,VI,,6,,,FALSE
ii%43,,38,2,113,6/8,59,9,2,0.5,a,iii,,ii,%,43,,,FALSE
.Ger6,,38,2.5,113.5,6/8,59,9,2,0.5,a,iii,,Ger,,6,,,FALSE
i64,,38,3,114,6/8,59,9,2,0.5,a,iii,,i,,64,,,FALSE
#vii/V,,38,3.5,114.5,6/8,59,9,2,0.5,a,iii,,#vii,,,,V,FALSE
V[V64,,39,1,115,6/8,59,9,2,1.5,a,iii,V,V,,64,,,FALSE
#viio2/V,,39,2.5,116.5,6/8,59,9,2,1.5,a,iii,V,#vii,o,2,,V,FALSE
V64,,40,1,118,6/8,59,9,2,1.5,a,iii,V,V,,64,,,FALSE
#viio2,,40,2.5,119.5,6/8,59,9,2,1,a,iii,V,#vii,o,2,,,FALSE
#viio43/V,,40,3.5,120.5,6/8,59,9,2,0.5,a,iii,V,#vii,o,43,,V,FALSE
V64,,41,1,121,6/8,59,9,2,1.5,a,iii,V,V,,64,,,FALSE
#viio2/V,,41,2.5,122.5,6/8,59,9,2,1.5,a,iii,V,#vii,o,2,,V,FALSE
V64,,42,1,124,6/8,59,9,2,1.5,a,iii,V,V,,64,,,FALSE
#viio2/V,,42,2.5,125.5,6/8,59,9,2,1,a,iii,V,#vii,o,2,,V,FALSE
#viio43/V,,42,3.5,126.5,6/8,59,9,2,0.5,a,iii,V,#vii,o,43,,V,FALSE
V64,,43,1,127,6/8,59,9,2,3,a,iii,V,V,,64,,,FALSE
V2,,44,1,130,6/8,59,9,2,1.5,a,iii,V,V,,2,,,FALSE
V],,44,2.5,131.5,6/8,59,9,2,1,a,iii,V,V,,,,,FALSE
